id,student_id,disciplinary_group,native,cell,split
0252n,252,AH,True,AH_native,train
6192c,6192,AH,True,AH_native,train
0261c,261,AH,True,AH_native,train
0318f,318,AH,True,AH_native,val
3108a,3108,AH,True,AH_native,test
3007a,3007,AH,True,AH_native,train
3080f,3080,AH,True,AH_native,train
3127a,3127,AH,True,AH_native,val
6118b,6118,AH,True,AH_native,val
6195a,6195,AH,True,AH_native,val
0310c,310,AH,True,AH_native,train
6134a,6134,AH,True,AH_native,train
0224f,224,AH,True,AH_native,train
3019h,3019,AH,True,AH_native,test
3118a,3118,AH,True,AH_native,test
0038a,38,AH,True,AH_native,test
0294c,294,AH,True,AH_native,train
6179a,6179,AH,True,AH_native,val
3007b,3007,AH,True,AH_native,train
6151b,6151,AH,True,AH_native,val
3099b,3099,AH,True,AH_native,train
3127b,3127,AH,True,AH_native,val
0061h,61,AH,True,AH_native,test
6060d,6060,AH,True,AH_native,train
0391c,391,AH,True,AH_native,train
3080b,3080,AH,True,AH_native,train
3145b,3145,AH,True,AH_native,train
0019f,19,AH,True,AH_native,train
0161h,161,AH,True,AH_native,val
6045a,6045,AH,True,AH_native,train
3005e,3005,AH,True,AH_native,train
0391e,391,AH,True,AH_native,train
0130h,130,AH,True,AH_native,train
6033a,6033,AH,True,AH_native,train
3066g,3066,AH,True,AH_native,test
6048a,6048,AH,True,AH_native,train
0013c,13,AH,True,AH_native,val
6174b,6174,AH,True,AH_native,test
0302f,302,AH,True,AH_native,train
0010c,10,AH,True,AH_native,test
0029f,29,AH,True,AH_native,train
3008a,3008,AH,True,AH_native,train
3110d,3110,AH,True,AH_native,train
6120b,6120,AH,True,AH_native,test
0215a,215,AH,True,AH_native,train
6201e,6201,AH,True,AH_native,train
0318c,318,AH,True,AH_native,val
6195b,6195,AH,True,AH_native,val
6032d,6032,AH,True,AH_native,train
3083b,3083,AH,True,AH_native,train
3129a,3129,AH,True,AH_native,train
6059e,6059,AH,True,AH_native,train
0224a,224,AH,True,AH_native,train
6143a,6143,AH,True,AH_native,train
6197b,6197,AH,True,AH_native,val
6120a,6120,AH,True,AH_native,test
6009b,6009,AH,True,AH_native,train
3006h,3006,AH,True,AH_native,train
6192a,6192,AH,True,AH_native,train
3002a,3002,AH,True,AH_native,train
6118e,6118,AH,True,AH_native,val
6206b,6206,AH,True,AH_native,train
3006e,3006,AH,True,AH_native,train
6118d,6118,AH,True,AH_native,val
3147e,3147,AH,True,AH_native,train
0019c,19,AH,True,AH_native,train
0380a,380,AH,True,AH_native,train
6053c,6053,AH,True,AH_native,train
6204b,6204,AH,True,AH_native,test
0303b,303,AH,True,AH_native,train
6061a,6061,AH,True,AH_native,train
3098b,3098,AH,True,AH_native,train
0015b,15,AH,True,AH_native,train
0419c,419,AH,True,AH_native,train
3005b,3005,AH,True,AH_native,train
0010b,10,AH,True,AH_native,test
0261e,261,AH,True,AH_native,train
6998c,6998,AH,True,AH_native,test
0292e,292,AH,True,AH_native,train
3158a,3158,AH,True,AH_native,train
3128a,3128,AH,False,AH_non-native,train
6064a,6064,AH,False,AH_non-native,train
0147a,147,AH,False,AH_non-native,train
6124a,6124,AH,False,AH_non-native,val
6124g,6124,AH,False,AH_non-native,val
0393b,393,AH,False,AH_non-native,train
0003k,3,AH,False,AH_non-native,test
0055b,55,AH,False,AH_non-native,val
3004b,3004,AH,False,AH_non-native,val
6173b,6173,AH,False,AH_non-native,train
6006d,6006,AH,False,AH_non-native,train
0003l,3,AH,False,AH_non-native,test
6180m,6180,AH,False,AH_non-native,train
6028c,6028,AH,False,AH_non-native,test
6058d,6058,AH,False,AH_non-native,train
6064e,6064,AH,False,AH_non-native,train
6006h,6006,AH,False,AH_non-native,train
3061e,3061,AH,False,AH_non-native,train
6058a,6058,AH,False,AH_non-native,train
0042e,42,AH,False,AH_non-native,train
6028a,6028,AH,False,AH_non-native,test
6180l,6180,AH,False,AH_non-native,train
0057f,57,AH,False,AH_non-native,train
3061a,3061,AH,False,AH_non-native,train
3061c,3061,AH,False,AH_non-native,train
6024a,6024,AH,False,AH_non-native,train
6203i,6203,AH,False,AH_non-native,train
3159a,3159,AH,False,AH_non-native,train
0042d,42,AH,False,AH_non-native,train
6058e,6058,AH,False,AH_non-native,train
3012a,3012,AH,False,AH_non-native,test
6024c,6024,AH,False,AH_non-native,train
6068a,6068,AH,False,AH_non-native,val
3150a,3150,AH,False,AH_non-native,train
6064b,6064,AH,False,AH_non-native,train
6006b,6006,AH,False,AH_non-native,train
0393a,393,AH,False,AH_non-native,train
6028d,6028,AH,False,AH_non-native,test
3125e,3125,AH,False,AH_non-native,train
0208c,208,AH,False,AH_non-native,train
3125i,3125,AH,False,AH_non-native,train
6203a,6203,AH,False,AH_non-native,train
6180g,6180,AH,False,AH_non-native,train
0003e,3,AH,False,AH_non-native,test
3061b,3061,AH,False,AH_non-native,train
3057a,3057,AH,False,AH_non-native,train
6203f,6203,AH,False,AH_non-native,train
3125g,3125,AH,False,AH_non-native,train
6173a,6173,AH,False,AH_non-native,train
3012d,3012,AH,False,AH_non-native,test
3150b,3150,AH,False,AH_non-native,train
